2 
FINITE ELEMENT MODEL FOR SHOCKWAVE 
MODEL WITH 814 TRIANGULAR ELEMENTS AND 461 NODES 
NELEM     NPOIN    NBOUN     NITER     NSHOW	
814 461 106 3000 10 
 GAMMA	
1.400000e+00 
NODAL COORDINATES AND INITIAL CONDITIONS [  ]:
1 0.000000 0.000000 1.000000 1.000000 0.000000 0.978400 
2 1.500000 0.000000 1.000000 1.000000 0.000000 0.978400 
3 0.187523 0.000000 1.000000 1.000000 0.000000 0.978400 
4 0.375023 0.000000 1.000000 1.000000 0.000000 0.978400 
5 0.562523 0.000000 1.000000 1.000000 0.000000 0.978400 
6 0.749977 0.000000 1.000000 1.000000 0.000000 0.978400 
7 0.937477 0.000000 1.000000 1.000000 0.000000 0.978400 
8 1.124977 0.000000 1.000000 1.000000 0.000000 0.978400 
9 1.312477 0.000000 1.000000 1.000000 0.000000 0.978400 
10 2.500000 0.250000 1.000000 1.000000 0.000000 0.978400 
11 1.666672 0.041668 1.000000 1.000000 0.000000 0.978400 
12 1.833328 0.083332 1.000000 1.000000 0.000000 0.978400 
13 1.999985 0.124996 1.000000 1.000000 0.000000 0.978400 
14 2.166672 0.166668 1.000000 1.000000 0.000000 0.978400 
15 2.333328 0.208332 1.000000 1.000000 0.000000 0.978400 
16 3.500000 0.000000 1.000000 1.000000 0.000000 0.978400 
17 2.666672 0.208332 1.000000 1.000000 0.000000 0.978400 
18 2.833328 0.166668 1.000000 1.000000 0.000000 0.978400 
19 2.999985 0.125004 1.000000 1.000000 0.000000 0.978400 
20 3.166672 0.083332 1.000000 1.000000 0.000000 0.978400 
21 3.333328 0.041668 1.000000 1.000000 0.000000 0.978400 
22 8.000000 0.000000 1.000000 1.000000 0.000000 0.978400 
23 3.695626 0.000000 1.000000 1.000000 0.000000 0.978400 
24 3.891319 0.000000 1.000000 1.000000 0.000000 0.978400 
25 4.087013 0.000000 1.000000 1.000000 0.000000 0.978400 
26 4.282570 0.000000 1.000000 1.000000 0.000000 0.978400 
27 4.478264 0.000000 1.000000 1.000000 0.000000 0.978400 
28 4.673958 0.000000 1.000000 1.000000 0.000000 0.978400 
29 4.869652 0.000000 1.000000 1.000000 0.000000 0.978400 
30 5.065208 0.000000 1.000000 1.000000 0.000000 0.978400 
31 5.260902 0.000000 1.000000 1.000000 0.000000 0.978400 
32 5.456459 0.000000 1.000000 1.000000 0.000000 0.978400 
33 5.652153 0.000000 1.000000 1.000000 0.000000 0.978400 
34 5.847847 0.000000 1.000000 1.000000 0.000000 0.978400 
35 6.043541 0.000000 1.000000 1.000000 0.000000 0.978400 
36 6.239098 0.000000 1.000000 1.000000 0.000000 0.978400 
37 6.434792 0.000000 1.000000 1.000000 0.000000 0.978400 
38 6.630486 0.000000 1.000000 1.000000 0.000000 0.978400 
39 6.826042 0.000000 1.000000 1.000000 0.000000 0.978400 
40 7.021736 0.000000 1.000000 1.000000 0.000000 0.978400 
41 7.217430 0.000000 1.000000 1.000000 0.000000 0.978400 
42 7.412987 0.000000 1.000000 1.000000 0.000000 0.978400 
43 7.608681 0.000000 1.000000 1.000000 0.000000 0.978400 
44 7.804375 0.000000 1.000000 1.000000 0.000000 0.978400 
45 8.000000 2.000000 1.000000 1.000000 0.000000 0.978400 
46 8.000000 0.181793 1.000000 1.000000 0.000000 0.978400 
47 8.000000 0.363617 1.000000 1.000000 0.000000 0.978400 
48 8.000000 0.545441 1.000000 1.000000 0.000000 0.978400 
49 8.000000 0.727264 1.000000 1.000000 0.000000 0.978400 
50 8.000000 0.909088 1.000000 1.000000 0.000000 0.978400 
51 8.000000 1.090912 1.000000 1.000000 0.000000 0.978400 
52 8.000000 1.272736 1.000000 1.000000 0.000000 0.978400 
53 8.000000 1.454559 1.000000 1.000000 0.000000 0.978400 
54 8.000000 1.636383 1.000000 1.000000 0.000000 0.978400 
55 8.000000 1.818207 1.000000 1.000000 0.000000 0.978400 
56 0.000000 2.000000 1.000000 1.000000 0.000000 0.978400 
57 7.804810 2.000000 1.000000 1.000000 0.000000 0.978400 
58 7.609741 2.000000 1.000000 1.000000 0.000000 0.978400 
59 7.414673 2.000000 1.000000 1.000000 0.000000 0.978400 
60 7.219360 2.000000 1.000000 1.000000 0.000000 0.978400 
61 7.024292 2.000000 1.000000 1.000000 0.000000 0.978400 
62 6.829224 2.000000 1.000000 1.000000 0.000000 0.978400 
63 6.634155 2.000000 1.000000 1.000000 0.000000 0.978400 
64 6.439087 2.000000 1.000000 1.000000 0.000000 0.978400 
65 6.244019 2.000000 1.000000 1.000000 0.000000 0.978400 
66 6.048706 2.000000 1.000000 1.000000 0.000000 0.978400 
